    step, crack_depth,    time,    ndof,  ms_err
    1.00,         0.0,     1.4,    4396,     1.0
    2.00,        17.0,     2.3,    7144,     0.9
    3.00,        19.3,     3.9,   10940,     0.6
    4.00,        24.3,     6.5,   15760,     0.5
    5.00,        28.3,    10.3,   20828,     0.4
    6.00,        32.9,    15.7,   28948,     0.4
    7.00,        36.5,    23.2,   37704,     0.4
    8.00,        40.3,    33.2,   48976,     0.3
    9.00,        43.9,    46.2,   60580,     0.3
   10.00,        46.0,    62.3,   73476,     0.3
   11.00,        48.4,    82.1,   89120,     0.3
   12.00,        51.3,   106.2,  105172,     0.2
   13.00,        52.9,   134.6,  120752,     0.2
   14.00,        54.2,   167.0,  133980,     0.2
   15.00,        56.3,   203.1,  152236,     0.2
   16.00,        56.9,   244.1,  167912,     0.2
   17.00,        58.0,   289.3,  181512,     0.2
   18.00,        59.2,   338.3,  196252,     0.2
   19.00,        59.2,   391.1,  209368,     0.2
   20.00,        59.6,   448.1,  224512,     0.1
   21.00,        60.1,   508.9,  236456,     0.1
   22.00,        60.2,   572.9,  252632,     0.1
   23.00,        60.6,   641.2,  266540,     0.1
   24.00,        60.6,   713.0,  279912,     0.1
   25.00,        60.6,   789.4,  294864,     0.1
   26.00,        60.6,   869.8,  309148,     0.1
   27.00,        60.6,   954.1,  323204,     0.1
   28.00,        60.6,  1041.9,  335628,     0.1
   29.00,        60.6,  1133.4,  348872,     0.1
   30.00,        60.6,  1228.5,  362880,     0.1
   31.00,        60.6,  1327.7,  377176,     0.1
   32.00,        60.6,  1430.7,  390116,     0.1
   33.00,        60.6,  1537.2,  403716,     0.1
   34.00,        60.6,  1647.6,  417868,     0.1
   35.00,        60.6,  1762.4,  430512,     0.1
   36.00,        60.8,  1880.3,  445704,     0.1
   37.00,        60.9,  2002.7,  457752,     0.1
   38.00,        61.1,  2128.0,  470300,     0.1
   39.00,        61.1,  2256.9,  482916,     0.1
   40.00,        61.1,  2389.1,  496572,     0.1
   41.00,        61.1,  2525.4,  510236,     0.1
   42.00,        61.1,  2666.7,  524376,     0.1
   43.00,        61.1,  2810.2,  537224,     0.1
   44.00,        61.1,  2957.3,  549660,     0.1
   45.00,        61.1,  3108.2,  563328,     0.1
   46.00,        61.1,  3262.3,  579228,     0.1
   47.00,        61.1,  3421.1,  591640,     0.1
   48.00,        61.1,  3583.4,  606748,     0.1
   49.00,        61.1,  3749.5,  622524,     0.1
   50.00,        61.1,  3920.3,  636352,     0.1
   51.00,        61.1,  4094.6,  650836,     0.1
   52.00,        61.1,  4272.9,  663824,     0.1
   53.00,        61.1,  4454.9,  675792,     0.1
   54.00,        61.1,  4640.8,  689108,     0.1
   55.00,        61.1,  4829.9,  702720,     0.1
   56.00,        61.1,  5022.9,  716696,     0.1
   57.00,        61.1,  5221.6,  729136,     0.1
   58.00,        61.2,  5421.8,  742280,     0.1
   59.00,        61.2,  5626.0,  755548,     0.1
   60.00,        61.2,  5834.2,  769156,     0.1
   61.00,        61.2,  6046.3,  780904,     0.1
   62.00,        61.2,  6260.7,  794560,     0.1
   63.00,        61.2,  6479.0,  808432,     0.1
   64.00,        61.2,  6701.8,  819096,     0.1
   65.00,        61.2,  6927.2,  831700,     0.1
   66.00,        61.2,  7155.8,  843092,     0.1
   67.00,        61.2,  7388.4,  855528,     0.1
   68.00,        61.2,  7624.5,  867908,     0.1
   69.00,        61.2,  7864.9,  878936,     0.1
   70.00,        61.2,  8109.3,  889452,     0.1
   71.00,        61.5,  8355.5,  902116,     0.1
   72.00,        61.6,  8606.1,  913184,     0.1
   73.00,        61.6,  8860.2,  924608,     0.1
   74.00,        61.6,  9116.6,  936868,     0.1
   75.00,        61.6,  9376.0,  948664,     0.1
   76.00,        61.6,  9638.7,  960412,     0.1
   77.00,        61.6,  9904.8,  968680,     0.1
   78.00,        61.6, 10173.5,  982016,     0.1
   79.00,        61.6, 10445.5,  990848,     0.1
   80.00,        61.6, 10721.0, 1002428,     0.1
   81.00,        61.6, 10999.6, 1011028,     0.1
   82.00,        61.6, 11280.6, 1022544,     0.1
   83.00,        61.6, 11566.3, 1033604,     0.0
   84.00,        61.6, 11854.3, 1045100,     0.0
   85.00,        61.6, 12144.6, 1055284,     0.0
   86.00,        61.6, 12438.2, 1065028,     0.0
   87.00,        61.6, 12732.5, 1072776,     0.0
   88.00,        61.6, 13030.2, 1084140,     0.1
   89.00,        61.6, 13331.4, 1094168,     0.1
   90.00,        61.6, 13636.6, 1105312,     0.1
   91.00,        61.6, 13947.0, 1114432,     0.0
   92.00,        61.6, 14258.6, 1122352,     0.0
   93.00,        61.6, 14573.4, 1125764,     0.0
   94.00,        61.6, 14890.0, 1128088,     0.0
   95.00,        61.6, 15202.9, 1129744,     0.0
   96.00,        61.6, 15533.3, 1130760,     0.0
   97.00,        61.6, 15867.1, 1131108,     0.0
   98.00,        61.6, 16202.1, 1133272,     0.0
   99.00,        61.6, 16534.0, 1134748,     0.0
  100.00,        61.6, 16868.6, 1135388,     0.0
  101.00,        61.6, 17203.8, 1136208,     0.0
  102.00,        61.6, 17541.2, 1136304,     0.0
  103.00,        61.6, 17875.0, 1136468,     0.0
  104.00,        61.6, 18209.0, 1136468,     0.0
  105.00,        61.6, 18542.6, 1136468,     0.0
  106.00,        61.6, 18879.0, 1136780,     0.0
  107.00,        61.6, 19211.9, 1136780,     0.0
  108.00,        61.6, 19546.4, 1136780,     0.0
  109.00,        61.6, 19887.6, 1136780,     0.0
  110.00,        61.6, 20229.5, 1136780,     0.0
  111.00,        61.6, 20575.5, 1136780,     0.0
  112.00,        61.6, 20917.2, 1136780,     0.0
