    step, crack_depth,    time,    ndof,  ms_err
    1.00,        10.0,     1.4,    4396,     1.0
    2.00,        14.7,     1.7,    4396,     0.9
    3.00,        21.1,     2.0,    6264,     0.7
    4.00,        27.6,     2.5,    8364,     0.6
    5.00,        32.8,     3.2,   11944,     0.5
    6.00,        40.9,     4.3,   16800,     0.4
    7.00,        45.2,     5.9,   22816,     0.3
    8.00,        49.9,     8.0,   28416,     0.3
    9.00,        52.5,    10.8,   37280,     0.3
   10.00,        55.8,    14.3,   42832,     0.2
   11.00,        56.9,    18.3,   48124,     0.2
   12.00,        59.1,    22.9,   53920,     0.2
   13.00,        63.1,    27.9,   59060,     0.2
   14.00,        60.8,    33.5,   63708,     0.2
   15.00,        61.9,    39.5,   69636,     0.2
   16.00,        61.9,    46.0,   74088,     0.2
   17.00,        61.9,    53.1,   80572,     0.1
   18.00,        61.9,    60.7,   84828,     0.1
   19.00,        62.3,    68.7,   88708,     0.1
   20.00,        62.3,    77.1,   93724,     0.1
   21.00,        62.3,    86.0,   99636,     0.1
   22.00,        63.0,    95.4,  103280,     0.1
   23.00,        63.0,   105.3,  109508,     0.1
   24.00,        63.0,   115.8,  116228,     0.1
   25.00,        63.0,   126.9,  121164,     0.1
   26.00,        63.0,   138.5,  126304,     0.1
   27.00,        63.0,   150.7,  131552,     0.1
   28.00,        63.0,   163.4,  137184,     0.1
   29.00,        63.0,   176.6,  142956,     0.1
   30.00,        63.0,   190.5,  148272,     0.1
   31.00,        63.0,   204.9,  153976,     0.1
   32.00,        63.0,   219.8,  160668,     0.1
   33.00,        63.0,   235.4,  166168,     0.1
   34.00,        63.0,   251.5,  171060,     0.1
   35.00,        63.0,   268.0,  175312,     0.1
   36.00,        63.0,   285.1,  180360,     0.1
   37.00,        63.0,   302.4,  184708,     0.1
   38.00,        63.0,   320.5,  191096,     0.1
   39.00,        63.0,   339.1,  197004,     0.1
   40.00,        63.0,   358.3,  202344,     0.1
   41.00,        63.0,   377.9,  208880,     0.1
   42.00,        63.0,   398.5,  215968,     0.1
   43.00,        63.0,   419.6,  223316,     0.1
   44.00,        63.0,   441.8,  228084,     0.1
   45.00,        63.0,   464.0,  232296,     0.1
   46.00,        63.0,   486.6,  237584,     0.1
   47.00,        63.0,   509.8,  243160,     0.1
   48.00,        63.0,   533.5,  249036,     0.1
   49.00,        63.0,   557.7,  252324,     0.1
   50.00,        63.0,   582.2,  257060,     0.1
   51.00,        63.0,   607.6,  262288,     0.1
   52.00,        63.0,   633.7,  268140,     0.1
   53.00,        63.0,   660.3,  273972,     0.1
   54.00,        63.0,   687.5,  278720,     0.1
   55.00,        63.0,   715.3,  284020,     0.1
   56.00,        63.0,   743.7,  290340,     0.1
   57.00,        63.0,   772.5,  295208,     0.1
   58.00,        63.0,   801.7,  299832,     0.1
   59.00,        63.0,   832.7,  304000,     0.1
   60.00,        63.0,   862.8,  308420,     0.1
   61.00,        63.0,   893.6,  313516,     0.1
   62.00,        63.0,   925.0,  318712,     0.1
   63.00,        63.0,   956.6,  323092,     0.0
   64.00,        63.0,   988.5,  325196,     0.0
   65.00,        63.0,  1020.6,  328392,     0.0
   66.00,        63.0,  1053.1,  331480,     0.0
   67.00,        63.0,  1085.7,  334564,     0.0
   68.00,        63.0,  1118.7,  335976,     0.0
   69.00,        63.0,  1152.2,  339236,     0.0
   70.00,        63.0,  1187.1,  342192,     0.0
   71.00,        63.0,  1221.3,  345932,     0.0
   72.00,        63.0,  1256.4,  351320,     0.1
   73.00,        63.0,  1291.8,  355972,     0.1
   74.00,        63.0,  1327.6,  360844,     0.0
   75.00,        63.0,  1364.0,  361236,     0.0
   76.00,        63.0,  1400.8,  362664,     0.0
   77.00,        63.0,  1437.3,  363976,     0.0
   78.00,        63.0,  1473.7,  365340,     0.0
   79.00,        63.0,  1510.4,  365512,     0.0
   80.00,        63.0,  1546.9,  366324,     0.0
   81.00,        63.0,  1584.4,  367336,     0.0
   82.00,        63.0,  1621.5,  367396,     0.0
   83.00,        63.0,  1658.3,  367524,     0.0
   84.00,        63.0,  1695.7,  367692,     0.0
   85.00,        63.0,  1733.5,  367692,     0.0
   86.00,        63.0,  1770.4,  367692,     0.0
   87.00,        63.0,  1807.7,  367692,     0.0
   88.00,        63.0,  1845.4,  367952,     0.0
   89.00,        63.0,  1882.5,  368144,     0.0
   90.00,        63.0,  1919.4,  368144,     0.0
   91.00,        63.0,  1956.5,  368144,     0.0
   92.00,        63.0,  1993.7,  368144,     0.0
   93.00,        63.0,  2030.6,  368144,     0.0
   94.00,        63.0,  2067.3,  368144,     0.0
   95.00,        63.0,  2104.0,  368144,     0.0
   96.00,        63.0,  2140.5,  368144,     0.0
   97.00,        63.0,  2177.0,  368144,     0.0
   98.00,        63.0,  2213.5,  368144,     0.0
   99.00,        63.0,  2250.1,  368144,     0.0
  100.00,        63.0,  2286.6,  368144,     0.0
