    step, crack_depth,    time,    ndof,  ms_err
    1.00,        10.0,     0.2,    4396,     1.0
    2.00,        13.7,     0.5,    4396,     0.9
    3.00,        21.6,     0.8,    4396,     0.8
    4.00,        33.6,     1.1,    5000,     0.7
    5.00,        44.0,     1.5,    6912,     0.5
    6.00,        52.2,     2.0,    8392,     0.3
    7.00,        58.0,     2.7,   10188,     0.2
    8.00,        58.0,     3.5,   11840,     0.2
    9.00,        59.0,     4.4,   12284,     0.2
   10.00,        59.0,     5.4,   13344,     0.1
   11.00,        62.4,     6.5,   14328,     0.1
   12.00,        62.4,     7.6,   15480,     0.1
   13.00,        62.4,     8.9,   16580,     0.1
   14.00,        62.4,    10.3,   17712,     0.1
   15.00,        62.4,    11.7,   18168,     0.1
   16.00,        62.4,    13.3,   19388,     0.1
   17.00,        62.4,    15.0,   19800,     0.1
   18.00,        62.4,    16.7,   20628,     0.1
   19.00,        62.4,    18.6,   21024,     0.1
   20.00,        62.4,    20.4,   22028,     0.1
   21.00,        62.4,    22.2,   22292,     0.1
   22.00,        62.4,    24.1,   23216,     0.1
   23.00,        62.4,    26.1,   24340,     0.1
   24.00,        62.4,    28.2,   25148,     0.1
   25.00,        62.4,    30.3,   25568,     0.1
   26.00,        62.4,    32.5,   26700,     0.1
   27.00,        62.4,    34.8,   27360,     0.1
   28.00,        62.4,    37.3,   27916,     0.1
   29.00,        62.4,    39.8,   28612,     0.1
   30.00,        62.4,    42.3,   29756,     0.1
   31.00,        62.4,    44.8,   30328,     0.1
   32.00,        62.4,    47.5,   30668,     0.1
   33.00,        62.4,    50.2,   31472,     0.1
   34.00,        62.4,    53.0,   32332,     0.1
   35.00,        62.4,    55.8,   33172,     0.1
   36.00,        62.4,    58.8,   35112,     0.1
   37.00,        62.4,    61.9,   35444,     0.1
   38.00,        62.4,    65.0,   36596,     0.1
   39.00,        62.4,    68.2,   37032,     0.1
   40.00,        62.4,    71.5,   37660,     0.1
   41.00,        62.4,    74.9,   37948,     0.1
   42.00,        62.4,    78.3,   38808,     0.1
   43.00,        62.4,    81.7,   39380,     0.1
   44.00,        62.4,    85.2,   39856,     0.1
   45.00,        62.4,    88.7,   40820,     0.1
   46.00,        62.4,    92.2,   41344,     0.1
   47.00,        62.4,    95.8,   42648,     0.1
   48.00,        62.4,    99.8,   43416,     0.0
   49.00,        62.4,   103.8,   43668,     0.0
   50.00,        62.4,   107.8,   45052,     0.1
   51.00,        62.4,   112.1,   46264,     0.1
   52.00,        62.4,   116.3,   46720,     0.0
   53.00,        62.4,   120.4,   48072,     0.0
   54.00,        62.4,   124.7,   49088,     0.1
   55.00,        62.4,   129.1,   49952,     0.1
   56.00,        62.4,   133.6,   50616,     0.0
   57.00,        62.4,   138.3,   50884,     0.0
   58.00,        62.4,   143.0,   51660,     0.0
   59.00,        62.4,   147.8,   52664,     0.0
   60.00,        62.4,   153.0,   53748,     0.0
   61.00,        62.4,   158.1,   54100,     0.0
   62.00,        62.4,   163.1,   54100,     0.0
   63.00,        62.4,   168.6,   54572,     0.0
   64.00,        62.4,   174.3,   54796,     0.0
   65.00,        62.4,   179.7,   55452,     0.0
   66.00,        62.4,   184.8,   55580,     0.0
   67.00,        62.4,   189.9,   55580,     0.0
   68.00,        62.4,   195.0,   55740,     0.0
   69.00,        62.4,   200.2,   56220,     0.0
   70.00,        62.4,   205.2,   56332,     0.0
   71.00,        62.4,   210.6,   56332,     0.0
   72.00,        62.4,   215.7,   56332,     0.0
   73.00,        62.4,   220.8,   56612,     0.0
   74.00,        62.4,   225.9,   56864,     0.0
   75.00,        62.4,   231.0,   57088,     0.0
   76.00,        62.4,   236.1,   57088,     0.0
   77.00,        62.4,   241.3,   57288,     0.0
   78.00,        62.4,   246.5,   57288,     0.0
   79.00,        62.4,   251.9,   57608,     0.0
   80.00,        62.4,   257.2,   57932,     0.0
   81.00,        62.4,   262.6,   57932,     0.0
   82.00,        62.4,   268.1,   58152,     0.0
   83.00,        62.4,   273.5,   58220,     0.0
   84.00,        62.4,   278.9,   58540,     0.0
   85.00,        62.4,   284.3,   58540,     0.0
   86.00,        62.4,   289.8,   58664,     0.0
   87.00,        62.4,   295.3,   58832,     0.0
   88.00,        62.4,   300.8,   59008,     0.0
   89.00,        62.4,   306.3,   59008,     0.0
   90.00,        62.4,   311.7,   59324,     0.0
   91.00,        62.4,   317.4,   59656,     0.0
   92.00,        62.4,   323.2,   59656,     0.0
   93.00,        62.4,   329.1,   59928,     0.0
   94.00,        62.4,   334.7,   60228,     0.0
   95.00,        62.4,   340.2,   60228,     0.0
   96.00,        62.4,   345.6,   60352,     0.0
   97.00,        62.4,   351.2,   60532,     0.0
   98.00,        62.4,   356.6,   60532,     0.0
   99.00,        62.4,   362.1,   60532,     0.0
  100.00,        62.4,   367.5,   60764,     0.0
  101.00,        62.4,   373.0,   60860,     0.0
  102.00,        62.4,   378.6,   60860,     0.0
  103.00,        62.4,   384.1,   60860,     0.0
  104.00,        62.4,   389.9,   60860,     0.0
  105.00,        62.4,   395.4,   60860,     0.0
  106.00,        62.4,   400.9,   60860,     0.0
  107.00,        62.4,   406.5,   60860,     0.0
  108.00,        62.4,   412.0,   60860,     0.0
  109.00,        62.4,   417.5,   60860,     0.0
