    step, crack_depth,    time,    ndof,  ms_err
    1.00,        10.0,     1.7,    4396,     1.0
    2.00,        13.7,     2.0,    4396,     0.9
    3.00,        21.6,     2.3,    4396,     0.8
    4.00,        29.3,     2.6,    5860,     0.7
    5.00,        39.5,     3.1,    8588,     0.5
    6.00,        49.9,     3.9,   12704,     0.3
    7.00,        55.8,     5.0,   15144,     0.3
    8.00,        58.0,     6.3,   16912,     0.2
    9.00,        58.5,     7.8,   19112,     0.2
   10.00,        61.3,     9.4,   20096,     0.2
   11.00,        63.1,    11.2,   22536,     0.2
   12.00,        61.8,    13.2,   24724,     0.1
   13.00,        61.8,    15.4,   26868,     0.1
   14.00,        61.8,    17.8,   29812,     0.1
   15.00,        61.8,    20.4,   31284,     0.1
   16.00,        61.8,    23.2,   33092,     0.1
   17.00,        61.8,    26.2,   35208,     0.1
   18.00,        61.8,    29.3,   37540,     0.1
   19.00,        61.8,    32.8,   38924,     0.1
   20.00,        61.8,    36.2,   40348,     0.1
   21.00,        61.8,    39.9,   41892,     0.1
   22.00,        61.8,    43.6,   43124,     0.1
   23.00,        61.8,    47.5,   44740,     0.1
   24.00,        61.8,    51.5,   45276,     0.1
   25.00,        61.8,    55.6,   47096,     0.1
   26.00,        61.8,    59.9,   48356,     0.1
   27.00,        61.8,    64.2,   50072,     0.1
   28.00,        61.8,    68.7,   51556,     0.1
   29.00,        61.8,    73.4,   52972,     0.1
   30.00,        61.8,    78.2,   54836,     0.1
   31.00,        61.8,    83.1,   56552,     0.1
   32.00,        61.8,    88.3,   60188,     0.1
   33.00,        61.8,    93.9,   62284,     0.1
   34.00,        61.8,    99.6,   64532,     0.1
   35.00,        61.8,   105.4,   66108,     0.1
   36.00,        61.8,   111.5,   67476,     0.1
   37.00,        61.8,   117.6,   69696,     0.1
   38.00,        61.8,   124.0,   72036,     0.1
   39.00,        61.8,   130.7,   73704,     0.1
   40.00,        61.8,   137.5,   74864,     0.1
   41.00,        61.8,   144.4,   76388,     0.1
   42.00,        61.8,   151.6,   79148,     0.1
   43.00,        61.8,   158.9,   80620,     0.1
   44.00,        61.8,   166.4,   81724,     0.1
   45.00,        61.8,   173.9,   83996,     0.1
   46.00,        61.8,   181.6,   85064,     0.1
   47.00,        61.8,   189.4,   85964,     0.1
   48.00,        61.8,   197.3,   87664,     0.1
   49.00,        61.8,   205.4,   88568,     0.1
   50.00,        61.8,   213.7,   90320,     0.1
   51.00,        61.8,   222.0,   92172,     0.0
   52.00,        61.8,   230.5,   94172,     0.0
   53.00,        61.8,   239.2,   94808,     0.0
   54.00,        61.8,   247.9,   95900,     0.0
   55.00,        61.8,   256.7,   96828,     0.0
   56.00,        61.8,   265.6,   98340,     0.0
   57.00,        61.8,   274.7,  100112,     0.0
   58.00,        61.8,   283.9,  100376,     0.0
   59.00,        61.8,   293.2,  101576,     0.0
   60.00,        61.8,   302.6,  101628,     0.0
   61.00,        61.8,   312.0,  102412,     0.0
   62.00,        61.8,   321.4,  103128,     0.0
   63.00,        61.8,   330.8,  103340,     0.0
   64.00,        61.8,   340.3,  103536,     0.0
   65.00,        61.8,   349.8,  103888,     0.0
   66.00,        61.8,   360.0,  104312,     0.0
   67.00,        61.8,   370.3,  105348,     0.0
   68.00,        61.8,   380.5,  105760,     0.0
   69.00,        61.8,   390.6,  106888,     0.0
   70.00,        61.8,   400.6,  107436,     0.0
   71.00,        61.8,   410.6,  108524,     0.0
   72.00,        61.8,   420.8,  109960,     0.0
   73.00,        61.8,   431.0,  110448,     0.0
   74.00,        61.8,   441.2,  110820,     0.0
   75.00,        61.8,   451.4,  111672,     0.0
   76.00,        61.8,   461.7,  111752,     0.0
   77.00,        61.8,   472.1,  111752,     0.0
   78.00,        61.8,   482.4,  111988,     0.0
   79.00,        61.8,   492.7,  112224,     0.0
   80.00,        61.8,   503.0,  112224,     0.0
   81.00,        61.8,   513.3,  112224,     0.0
   82.00,        61.8,   523.7,  112224,     0.0
   83.00,        61.8,   534.0,  112224,     0.0
   84.00,        61.8,   544.3,  112224,     0.0
   85.00,        61.8,   554.6,  112224,     0.0
   86.00,        61.8,   564.9,  112224,     0.0
   87.00,        61.8,   575.1,  112224,     0.0
