step,cracktip_ratio,time,ELM
1,0.14343947110721755,1.6224749088287354,7617
2,0.18352810842043676,4.8362932205200195,12035
3,0.22526823954876996,8.856978178024292,17366
4,0.26866281466880826,14.544650554656982,24145
5,0.31235389492075094,23.845184326171875,32204
6,0.3558761497667363,36.20243763923645,39524
7,0.39777101465817366,48.487579345703125,45812
step,cracktip_ratio,time,ELM
1,0.11647726379835688,0.7665481567382812,3561
2,0.13815527468570044,2.0681614875793457,5299
3,0.16297253476945905,3.9641060829162598,6973
4,0.18847515063469344,6.252713680267334,9013
5,0.21335100024211007,9.054608345031738,11260
step,cracktip_ratio,time,ELM
1,0.14343947110721755,1.5809919834136963,7617
2,0.18352810842043676,4.873492240905762,12035
3,0.22526823954876996,8.946187496185303,17366
4,0.26866281466880826,14.77238154411316,24145
5,0.31235389492075094,24.218360662460327,32204
6,0.3558761497667363,36.8138153553009,39524
7,0.39777101465817366,49.26860570907593,45812
8,0.4383693322877612,66.8462975025177,51278
9,0.47689556263965294,83.04785537719727,56323
10,0.5132958897510385,100.59945249557495,61622
11,0.5473367971863937,120.43255352973938,66564
step,cracktip_ratio,time,ELM
1,0.13041717047464585,1.3359603881835938,5435
2,0.16215927057084378,3.441704273223877,8389
3,0.1947359413687495,6.862123489379883,11781
4,0.2285729683425144,10.688174962997437,15264
5,0.2643203404036589,15.577142477035522,19587
6,0.29975650158826106,21.76184391975403,24693
7,0.3344734461901564,29.486421585083008,30231
8,0.3688610133917818,39.138516664505005,35097
9,0.4031890808679346,50.02320599555969,39270
10,0.4358387894201222,62.16376757621765,43300
11,0.46698341285279144,73.06662464141846,47048
12,0.4966716901113304,90.08385515213013,50919
13,0.5246866444720473,105.55884504318237,54670
14,0.5522605050378253,122.52961874008179,58596
15,0.5772829834606954,141.52304410934448,62604
16,0.6004368759651062,161.2700207233429,66662
17,0.622453399232026,181.85989594459534,70564
18,0.6437547706381834,199.98185992240906,74024
19,0.6635960543993003,218.59009170532227,76971
20,0.6826024152224568,238.2589612007141,79945
21,0.6994197463204657,258.9381594657898,83206
22,0.7156102736793342,280.48292660713196,86511
23,0.7312883794378117,306.75852608680725,89751
24,0.7461541135771637,331.76735401153564,92885
25,0.7594218488740793,357.2242486476898,95832
26,0.7722807239218508,383.6686420440674,98946
27,0.7843432739879854,404.22642397880554,102088
28,0.7957965703999219,431.78909730911255,105082
29,0.8065965197653817,460.60501313209534,108526
30,0.8165012596063228,484.1154372692108,111773
31,0.8266738952206718,507.76537108421326,114931
32,0.8355919033327988,539.0018737316132,118356
33,0.8450931318037587,571.6925601959229,121874
34,0.8537873375347559,606.1293256282806,125358
35,0.8618983229069204,680.8471710681915,129496
36,0.870153072140592,708.7574412822723,133382
37,0.8770012650977302,746.7529830932617,138123
38,0.8847446759033226,785.4462583065033,142544
39,0.8917158829417772,826.2151629924774,146731
40,0.8990294399943792,985.4012985229492,151069
41,0.9066305247699956,1026.4441299438477,155188
42,0.9148844893720043,1069.7073171138763,159238
43,0.9235697455585345,1115.1525337696075,163875
44,0.9322550017450647,1163.5329961776733,168046
45,0.9409402579315949,1213.083743572235,172622
46,0.9513625653554311,1253.1201555728912,176710
47,0.9635219240165733,1310.041510105133,181209
48,0.9782868595336746,1363.0328979492188,185858
49,1.0,1431.5218987464905,191479
50,1.0,1473.7988023757935,196664
51,1.0,1517.4814233779907,201860
step,cracktip_ratio,time,ELM
1,0.11647726379835688,0.8060743808746338,3561
2,0.13815527468570044,2.395099401473999,5299
3,0.16297253476945905,4.638221979141235,6973
4,0.18847515063469344,7.776015758514404,9013
5,0.21335100024211007,11.040266513824463,11260
6,0.23957692266109032,15.051682233810425,13754
7,0.2659881922386673,19.387013912200928,16436
8,0.29328324367691716,24.564504146575928,19346
9,0.3202285385823952,30.693500757217407,22558
10,0.34602976802536134,38.271986961364746,25893
11,0.3714722264201462,46.22021150588989,28574
12,0.39677905639994393,54.710410594940186,31278
13,0.4213970398443173,62.41499948501587,33654
14,0.4452649859330621,70.79970145225525,36379
15,0.4682546302281856,79.77617502212524,38921
16,0.49072607310981997,91.77367162704468,41533
17,0.5122320599343975,101.84463214874268,44312
18,0.533114869304969,112.69256925582886,46977
19,0.5524433092080675,123.97974705696106,49517
20,0.5712710731487949,138.97308540344238,52121
21,0.5889614678520313,154.75161242485046,55217
22,0.6059003737662803,171.48054432868958,58091
23,0.6219049867212996,185.9600474834442,60818
24,0.6384288413574198,201.1204161643982,63221
25,0.6528923427092774,213.83844876289368,65424
26,0.6672248930193887,230.82068920135498,68017
27,0.681505590201004,248.12799167633057,70223
28,0.6945438662935948,265.85092282295227,73068
29,0.7065929826472341,285.30120491981506,75472
30,0.7188223180016957,304.6532425880432,77887
31,0.7300831942070308,319.8189890384674,80471
32,0.7413333726540401,340.2946150302887,82955
33,0.7513837147494313,357.6323194503784,85619
34,0.761832219335641,375.75337171554565,88149
35,0.7714790500610511,404.8409788608551,90834
36,0.7803188580464986,423.4383313655853,93232
37,0.789164014911109,442.73843336105347,96115
38,0.797454709272125,467.78122067451477,98915
39,0.8059251126219926,496.7919418811798,101679
40,0.8131849818619165,524.008091211319,104624
41,0.8202651421129886,551.7113013267517,107347
42,0.827704720341764,573.9247567653656,110331
43,0.8343372758305768,603.8656198978424,113307
44,0.8413733426893709,645.8069863319397,116159
45,0.8476023868082025,674.0681550502777,119172
46,0.8544146512858669,743.8897082805634,122584
47,0.8606436954046984,776.3987967967987,126100
48,0.8663891896339262,803.267927646637,129468
49,0.8718389912273354,838.4670388698578,132776
50,0.8783996564614593,872.1571545600891,136028
51,0.8837056941933614,911.8958864212036,139304
52,0.8902663594274854,951.6304051876068,142771
53,0.895914747173535,996.0889232158661,146167
54,0.9017068987810919,1030.3058953285217,149495
55,0.9080800482842873,1074.9171800613403,152902
56,0.9131474381346983,1112.251422405243,156120
57,0.9200956430839224,1148.2226729393005,159610
58,0.9270438480331465,1186.2523205280304,163004
59,0.9339920529823706,1225.2942910194397,166317
60,0.9409402579315949,1265.734722852707,170110
61,0.947888462880819,1308.8070516586304,173608
62,0.9548366678300431,1349.6189403533936,177484
63,0.9635219240165733,1406.6206340789795,181329
64,0.9748127570590626,1462.6331715583801,185147
65,0.9887091669575108,1515.7683863639832,189615
66,1.0,1582.9222629070282,194400
67,1.0,1626.33731508255,198968
68,1.0,1670.1777093410492,204048
69,1.0,1716.4094879627228,208888
70,1.0,1768.2365834712982,213685
71,1.0,1819.4916706085205,218468
step,cracktip_ratio,time,ELM
1,0.11299765608352508,0.9168846607208252,3155
2,0.1330592686854044,1.8843917846679688,4653
3,0.15452705204371753,3.1439597606658936,6219
4,0.17716466706473344,4.693962335586548,7843
5,0.20077777401617258,7.065484285354614,9369
