step,cracktip_ratio,time,ELM,error
1,0.12350956035020699,7.887407064437866,61747,261.39017542181193
2,0.17792155394883025,14.727389335632324,140038,525.7284687350138
3,0.24443093641524838,32.29887533187866,449253,473.8557884999621
step,cracktip_ratio,time,ELM,error
1,0.0,4.176783800125122,48324,88.63420651321236
2,0.060000000000889675,7.579009771347046,48634,7.583294126259935
3,0.060000000000889675,10.910534858703613,48931,11.393764044073551
4,0.06648418887594221,14.265447854995728,48931,13.072576674939004
step,cracktip_ratio,time,ELM,error
1,1.0,2.6382060050964355,49275,83.1645342920401
2,1.0,6.284556150436401,55042,123.84154999886775
step,cracktip_ratio,time,ELM,error
1,1.0,2.5614521503448486,49275,83.1645342920401
2,1.0,6.129944086074829,55042,123.84154999886775
step,cracktip_ratio,time,ELM,error
1,0.12350956035020699,2.9930500984191895,61747,261.39017542181193
2,0.17792155394883025,9.250459909439087,140038,525.7284687350138
step,cracktip_ratio,time,ELM,error
1,0.12350956035020699,3.33127498626709,61747,261.39017542181193
2,0.17792155394883025,9.889352798461914,140038,525.7284687350138
3,0.24443093641524838,27.637565851211548,449253,473.8557884999621
