0,0,0,4627
6,0.1,88.16180699185792,4726
9,0.10400000000000001,91.67558946137596,4726
12,0.10800000000000001,95.18503175370077,4726
15,0.11200000000000002,98.69208030416623,4726
19,0.11600000000000002,102.19595923608149,4726
23,0.12000000000000002,105.69660451104774,4726
27,0.12400000000000003,109.19303906756544,4726
31,0.12800000000000003,112.68578853079873,4726
35,0.13200000000000003,116.17324224906763,4726
39,0.13600000000000004,119.65609282098646,4726
43,0.14000000000000004,123.13508249189819,4726
47,0.14400000000000004,126.61002324818011,4726
51,0.14800000000000005,130.08048204988586,4726
55,0.15200000000000005,133.54668055166704,4726
60,0.15600000000000006,137.00847492123114,4726
65,0.16000000000000006,140.46571393529695,4726
70,0.16400000000000006,143.9173899162933,4726
75,0.16800000000000007,147.36389026313066,4726
80,0.17200000000000007,150.80456092097222,4726
85,0.17600000000000007,154.23890303246898,4726
90,0.18000000000000008,157.66747018436544,4726
95,0.18400000000000008,161.08867961604722,4726
101,0.18800000000000008,164.50448121258162,4726
107,0.1920000000000001,167.70318408123734,4765
112,0.1960000000000001,171.12711800703354,4765
118,0.2000000000000001,174.48846464699832,4797
124,0.2040000000000001,177.7128262613439,4853
133,0.2080000000000001,180.09443446006821,5019
140,0.2120000000000001,183.06916718495575,5108
145,0.2160000000000001,186.40631147828296,5131
150,0.2200000000000001,189.78573651583812,5131
155,0.22400000000000012,193.14527629920295,5131
164,0.22800000000000012,196.3054928062658,5343
170,0.23200000000000012,199.65249757955712,5343
177,0.23600000000000013,202.98415120682128,5343
184,0.24000000000000013,206.25340782725914,5343
192,0.24400000000000013,209.46401312031665,5411
198,0.24800000000000014,212.54345080040716,5454
206,0.2520000000000001,215.77321894725122,5554
215,0.2560000000000001,219.00234897181411,5554
225,0.2600000000000001,222.16123609231175,5598
235,0.2640000000000001,225.34963312560512,5622
246,0.2680000000000001,228.50489502556988,5622
257,0.27200000000000013,231.6135964354692,5766
269,0.27600000000000013,234.72466162227758,5806
282,0.28000000000000014,237.81319212743878,5818
296,0.28400000000000014,240.85596342178297,5878
312,0.28800000000000014,243.8594203462806,5920
329,0.29200000000000015,246.78066926886467,5996
349,0.29600000000000015,249.62293830295562,6088
373,0.30000000000000016,252.36566625427258,6168
403,0.30400000000000016,255.03709852359532,6252
450,0.30800000000000016,257.4204815036794,6252
502,0.31200000000000017,254.95153852444744,6878
554,0.31600000000000017,186.2904357419963,13442
606,0.3200000000000002,119.10529822747428,19280
658,0.3240000000000002,89.91646915078198,21980
