step,cracktip_ratio,time,ELM
step,cracktip_ratio,time,ELM
1,0.07999999999999996,10.458545923233032,121783
2,0.07999999999999996,20.483595371246338,121783
3,0.07999999999999996,30.547340154647827,121783
4,0.0814274482150501,40.67059016227722,121783
5,0.08428234464515016,51.00848197937012,121783
6,0.08659165972409122,61.19752597808838,121783
7,0.08890097480303227,71.24488258361816,121783
8,0.09121028988197322,82.19374513626099,121783
9,0.09351960496091416,92.38293313980103,121783
10,0.09637450139101433,102.53298354148865,121783
11,0.0986838164699555,112.88572072982788,121783
12,0.10065684603616454,125.39064717292786,121783
13,0.10398080945961008,138.05857229232788,121783
14,0.10700674454923065,149.44268918037415,121783
15,0.10867329596489506,160.10784459114075,121783
16,0.11172903841670256,170.2787127494812,121783
17,0.11478478086851007,180.66079425811768,121783
18,0.11645133228417448,191.01298213005066,121783
19,0.11950707473598199,208.51977062225342,121797
20,0.1225628171877895,226.05774879455566,121857
21,0.12422936860345368,243.32486081123352,121869
22,0.1272851110552613,267.78177762031555,121973
23,0.1298208548449371,285.9783844947815,122031
24,0.1323565986346129,303.4132661819458,122081
25,0.1348923424242887,320.9708251953125,122159
26,0.13686349036142587,338.394727230072,122221
27,0.13939923415110156,356.2409236431122,122317
28,0.14193497794077747,374.1254415512085,122419
29,0.14390612587791451,391.56477761268616,122485
30,0.14644186966759032,409.549991607666,122589
31,0.14897761345726623,427.09501552581787,122659
32,0.15075792233026553,444.4950294494629,122703
33,0.1537579048936627,462.20983719825745,122763
34,0.155538213766662,482.69016909599304,122795
35,0.15872507472425967,500.3428921699524,122809
36,0.16153817889345645,517.9188854694366,122883
37,0.16350536616065614,535.6634588241577,122905
38,0.16631847032985292,553.4071433544159,122945
39,0.1680987792028522,571.552814245224,123015
40,0.1698790880758515,582.4545259475708,123015
41,0.17306594903344907,607.4697325229645,123139
42,0.17572891134370128,625.3767535686493,123171
43,0.17857875204815388,643.5530018806458,123231
44,0.18060323144725587,661.7622537612915,123279
45,0.18326619375750808,679.5194725990295,123287
46,0.18529067315660996,697.619859457016,123389
47,0.18731515255571207,715.8346309661865,123469
48,0.18933963195481396,733.5112571716309,123521
49,0.19200259426506616,751.8370206356049,123577
50,0.19402707366416827,770.0749235153198,123629
51,0.19605155306327027,787.8249607086182,123685
52,0.19890139376772287,806.1539285182953,123693
53,0.20092587316682486,824.0816369056702,123793
54,0.20276347417172658,841.7037181854248,123843
55,0.20478795357082846,859.9151248931885,123911
56,0.20681243296993057,877.7040438652039,123965
57,0.20947539528018277,896.0038192272186,123989
58,0.21149987467928477,915.1809458732605,124067
59,0.21352435407838677,933.684867143631,124105
60,0.21536195508328837,952.3368368148804,124183
61,0.21738643448239048,970.7432372570038,124197
62,0.21922403548729197,989.8877975940704,124243
63,0.22124851488639397,1008.5939426422119,124273
64,0.22327299428549596,1027.3394322395325,124313
65,0.22511059529039756,1046.096382856369,124337
66,0.22694819629529916,1067.4582314491272,124361
67,0.22897267569440116,1085.9362437725067,124439
68,0.23099715509350316,1104.155571937561,124483
69,0.23283475609840476,1121.9933326244354,124495
70,0.23485923549750676,1147.394071340561,124577
71,0.23651594336295734,1165.3242506980896,124633
72,0.23878972578035107,1183.6275005340576,124665
73,0.24044643364580176,1201.8064935207367,124695
74,0.24210314151125245,1219.9549324512482,124755
75,0.24375984937670314,1238.199806213379,124769
76,0.24603363179409676,1258.6947429180145,124857
77,0.24769033965954745,1276.7626225948334,124869
78,0.24934704752499814,1295.4874377250671,124903
79,0.2512742855045559,1314.2398703098297,124929
80,0.2529309933700066,1332.7929379940033,124961
81,0.25458770123545726,1351.2059767246246,125025
82,0.25624440910090795,1369.5044469833374,125065
83,0.25790111696635865,1389.097721338272,125095
